repo	curation_score	code_hit_count	stars	html_url	reasons
superlanding/super_tools	15	1	0	https://github.com/superlanding/super_tools	below-threshold-or-hard-excluded
pilate/yolol-scripts	13	7	0	https://github.com/pilate/yolol-scripts	below-threshold-or-hard-excluded
rodrigocaldeira/tictactoelolcode	13	1	21	https://github.com/rodrigocaldeira/tictactoelolcode	below-threshold-or-hard-excluded
rtoal/ple	12	6	0	https://github.com/rtoal/ple	below-threshold-or-hard-excluded
mstraughan86/Esoteric-Language-Studies	12	4	7	https://github.com/mstraughan86/Esoteric-Language-Studies	below-threshold-or-hard-excluded
jrppena/ChickenWingsCMSC124Proj	10	4	0	https://github.com/jrppena/ChickenWingsCMSC124Proj	below-threshold-or-hard-excluded
martindevans/Yolol	10	4	0	https://github.com/martindevans/Yolol	below-threshold-or-hard-excluded
KelvinBeliber/CMSC-124-Project	9	3	0	https://github.com/KelvinBeliber/CMSC-124-Project	below-threshold-or-hard-excluded
SergioRgVz/PreventAI	9	3	0	https://github.com/SergioRgVz/PreventAI	below-threshold-or-hard-excluded
UlteriorCoast18/Conocimiento	9	3	0	https://github.com/UlteriorCoast18/Conocimiento	below-threshold-or-hard-excluded
acmeism/RosettaCodeData	9	3	0	https://github.com/acmeism/RosettaCodeData	below-threshold-or-hard-excluded
ckrp120/beilisangels	9	3	0	https://github.com/ckrp120/beilisangels	below-threshold-or-hard-excluded
e9-o9/ro9se	9	3	0	https://github.com/e9-o9/ro9se	below-threshold-or-hard-excluded
emanestares/CMSC124_PROJECT	9	3	0	https://github.com/emanestares/CMSC124_PROJECT	below-threshold-or-hard-excluded
mertabo/cmsc-124-project	9	3	0	https://github.com/mertabo/cmsc-124-project	below-threshold-or-hard-excluded
stefanos1316/Rosetta-Code-Research	9	3	0	https://github.com/stefanos1316/Rosetta-Code-Research	below-threshold-or-hard-excluded
Holarse-Linuxgaming/ashley-madison-simulator	9	1	7	https://github.com/Holarse-Linuxgaming/ashley-madison-simulator	below-threshold-or-hard-excluded
staylward/esoteric-fun	9	1	5	https://github.com/staylward/esoteric-fun	below-threshold-or-hard-excluded
